Skull,Period,Maximum_breadth,Basibregmatic_height,Basialveolar_length,Nasal_height
121,Roman_period,137,123,91,50
122,Roman_period,136,131,95,49
123,Roman_period,128,126,91,57
124,Roman_period,130,134,92,52
125,Roman_period,138,127,86,47
126,Roman_period,126,138,101,52
127,Roman_period,136,138,97,58
128,Roman_period,126,126,92,45
129,Roman_period,132,132,99,55
130,Roman_period,139,135,92,54
131,Roman_period,143,120,95,51
132,Roman_period,141,136,101,54
133,Roman_period,135,135,95,56
134,Roman_period,137,134,93,53
135,Roman_period,142,135,96,52
136,Roman_period,139,134,95,47
137,Roman_period,138,125,99,51
138,Roman_period,137,135,96,54
139,Roman_period,133,125,92,50
140,Roman_period,145,129,89,47
141,Roman_period,138,136,92,46
142,Roman_period,131,129,97,44
143,Roman_period,143,126,88,54
144,Roman_period,134,124,91,55
145,Roman_period,132,127,97,52
146,Roman_period,137,125,85,57
147,Roman_period,129,128,81,52
148,Roman_period,140,135,103,48
149,Roman_period,147,129,87,48
150,Roman_period,136,133,97,51
